x,y,radius,angle,sin_theta1,sin_theta2,sin_theta3,cos_theta1,cos_theta2,cos_theta3,theta_sum,U
0.5206274709346073,2.4608362949314464,2.515306787241607,1.3623054577726652,0.8857744320280762,0.8471696947709118,-0.8258096090037793,0.46411599365389156,0.5313224146050685,0.563949013366479,1.127159223959778,3.961759550496552
0.495604245780088,-2.22542944500472,2.279947320253094,4.931513648801645,-0.9891048668699589,0.7628435713836529,-0.9994894434684464,0.14721264325512534,0.6465830848380072,0.03195078082199794,-2.0941871939071346,-3.696684223102813
1.2779072893431955,2.236635021852361,2.575962589233971,1.0517074668699833,0.298067148419511,0.6672429480752629,0.7688404546793689,0.9545449046708391,0.7448401494574739,0.6394406581133399,1.9101940002915057,2.50503415581667
1.6299148464459878,-2.119044408267922,2.6733820547906344,5.36804923160441,-0.802176096003646,-0.6245777137972892,0.9205878916496675,0.5970875237352974,0.7809626619933577,0.3905354449317245,-0.4359383832424206,-3.715666553436645
-1.0784233468092892,-2.5587607592065065,2.776734329711506,4.313517894331851,-0.9997207694022833,-0.6205617831500192,0.3499075801903442,-0.02363013384868281,0.7841575564219658,0.9367842255959148,-1.9064151313916824,-4.1253172224458865
-2.787324457975367,0.4518015853362429,2.823703650622709,2.9808987712921824,-0.3521070629799489,-0.6002047776694953,-0.37449063440463637,-0.9359597300095952,0.7998463757889459,0.9272306966139618,-3.809375746252701,-0.15044034104149445
2.3737233061740945,0.8363169392653741,2.5167416151000244,0.3387426649661475,-0.2371242720688716,0.9876196324412938,-0.9093956623170064,0.9714793253568538,0.15686765637480418,0.415932121095514,0.032044690531564335,0.8065913112173009
-0.6717500748552172,-1.8604467067148334,1.9780066004930468,4.3658871590857995,-0.7278050176765325,-0.9238490706079872,-0.7922011976691186,0.6857841178132242,0.3827569656280057,0.6102599957490366,-2.9075410357851132,-3.303673017038504
-0.6717500748552172,-1.8604467067148334,1.9780066004930468,4.3658871590857995,-0.2222653331895517,0.8802469215365579,0.8381635124401423,-0.9749862161395604,0.47451591872708837,0.5454190374510257,-0.8471656836208323,-2.3759123085682083
1.5749136790382654,0.06412423046182064,1.5762185804494773,0.040693551384332526,0.966204357525329,-0.9506586161340079,-0.9609223544594707,0.257777306020267,0.31023893303415834,0.2768180425840543,-1.2355918613836434,2.0253833477685075
2.2721760735573526,-0.6705604307007065,2.3690579141228323,5.996213257278371,-0.4620819002512744,-0.40651595890308384,0.9980034186913463,0.8868372553406692,0.9136436806310796,0.06315992622213323,0.6086155449399124,-2.0433762358421315
-1.036700613396308,2.7435627071131647,2.932896944946821,1.9320777775895581,0.9977066600089952,0.34143496219317165,0.3716454419274922,0.0676861918983136,0.9399054030018912,0.9283747441063437,2.232282312159173,4.330097257586598
2.2901211779098722,1.058755959699378,2.523017873838838,0.4330472488973272,-0.011227752263938857,0.022012442900230477,0.9117039031173898,0.9999369668029578,0.9997576968233673,0.41084789526115034,1.158198680405334,0.4461507966238979
2.2901211779098722,1.058755959699378,2.523017873838838,0.4330472488973272,-0.4329876994277032,0.9823410876248934,0.01462075196712244,0.901399829234677,0.18709887109210885,0.9998931110933388,0.9494049098063655,0.5307712231836809
2.80295945888461,0.6088587577300362,2.868325419999493,0.21389707105917902,-0.33288318985150167,0.8589050592705794,-0.4973982084290911,0.9429680704638356,0.5121348447034263,0.8675223468312101,0.17317124852453758,0.21310398761517246
