tau1,tau2,tau3,q1,q2,q3,dq1,dq2,dq3,ddq1,ddq2,ddq3,G1,G2,G3,Cqdot1,Cqdot2,Cqdot3,M1,M2,M3,M4,M5,M6,M7,M8,M9
7.762366413,-5.482611432,-7.508905883,-2.493642242713842,0.754604196377679,-3.109286904763338,-1.0613011192635255,-3.596216705248587,-0.17525538635418264,33.201656882869244,-78.12931096937481,-9.961591575896628,-21.353634485184948,-1.7992999505911556,0.6647143506075676,-13.233700394503693,0.7853667660551789,-0.7491648340845218,4.480737980536541,1.407400716261929,-0.5192159318660152,1.407400716261929,0.6676051186539838,-0.16619744067300812,-0.5192159318660152,-0.16619744067300812,0.3335416666666666
-4.23338486,1.722461296,1.081810043,-1.802901573019184,-0.6253957459662699,-0.651033045489586,-0.8658733409802635,-4.446625675433375,5.450156577144723,-24.909846199128726,50.50218967287634,1.2040720259580695,-21.66453009289013,-16.023122226495857,-4.895495727480783,15.229194135454422,-9.562947282918135,-8.910324921702088,7.518412355625275,3.8237061055409436,0.8763380852975353,3.8237061055409436,2.4625415221232787,0.7312707610616394,0.8763380852975353,0.7312707610616394,0.3335416666666666
6.194215518,1.20951904,-4.231575711,-2.344088255950068,0.7400981981766497,-2.0528619635365937,-2.519124188596125,0.684039885976935,4.61092742395736,19.88833294099157,-39.89742758262737,11.65762331925535,-21.887099436344783,-4.756515116549535,-4.268159057116255,5.5917011605986,5.27299284170647,-4.559831576243879,6.00740036826012,2.438665818279075,0.22932583880809734,2.438665818279075,1.2034729349646964,0.10173646748234821,0.22932583880809734,0.10173646748234821,0.3335416666666666
-1.742073146,6.362419419,2.530129248,-2.463668452760917,0.7649967994797147,-1.5099307314759534,0.025332082993906307,-1.7940449979048423,-8.73699557412125,5.685966934105814,-47.5117856696241,69.64538779637586,-25.872494045639456,-6.770553018814931,-4.893991649427351,87.6833725844294,53.52194016643794,-1.5614937653458458,6.96073943637809,3.1775545623334334,0.731522023988276,3.1775545623334334,1.727911354955443,0.3639556774777214,0.731522023988276,0.3639556774777214,0.3335416666666666
9.181552854,-2.611911778,1.05223021,-2.097282031641884,0.7384602238407517,-0.5096957094648802,-2.0051406730736234,-0.9120236553872545,5.960342661200805,29.757100948471393,-71.69914104699149,66.31880444797211,-10.666711458633216,1.6570536347074594,-1.4388445276078035,-4.943872993042362,4.698804873095677,-1.6201436076269264,8.065983135773221,4.1362089086970695,1.2569618315300581,4.1362089086970695,2.5399763482875817,0.7699881741437908,1.2569618315300581,0.7699881741437908,0.3335416666666666
1.878484032,6.965824166,-7.090529236,-2.2347014892548533,-0.2762850580337088,-0.4572542139980694,-4.362309864748239,11.618420592730683,-11.880953006475446,-65.30742845763626,160.01559898022677,-102.05843671375447,-31.828589450246085,-16.71635270238687,-4.831484597470819,7.645997302931519,-21.05759963418688,-17.99260786199909,8.526928960175121,4.378869365756419,1.1535804725200094,4.378869365756419,2.5643514380043824,0.7821757190021912,1.1535804725200094,0.7821757190021912,0.3335416666666666
-1.869793265,8.199179233,-9.138662229,-2.725110889284074,0.4338972656300729,-1.3104381945189347,-3.9422401075266986,11.075332169408508,-9.1059240255884,16.289945338447076,-28.528040486902384,79.30379901274343,-36.53102083788276,-14.102469741616108,-4.3950086579173195,-49.464811577474684,-18.874065334975878,-30.555065168473238,7.619867582158431,3.605417939832889,0.7821616659191022,3.605417939832889,1.924509964174014,0.4622549820870071,0.7821616659191022,0.4622549820870071,0.3335416666666666
6.454125604,-1.692319253,6.596079706,-2.114399556217721,-0.3785775670890066,3.1415900000000008,1.6987487601203912,-9.707533434500887,-1.7763568394002505e-13,-13.007340415855717,43.13962413708339,0.0,-20.50268435120948,-7.817786142645545,3.908904865303013,22.639676632734382,-1.0665661565335007,0.5333735162513964,4.859008591553435,1.596275129111811,-0.6310534956432359,1.596275129111811,0.667083333336854,-0.166458333331573,-0.6310534956432359,-0.166458333331573,0.3335416666666666
-9.800908784,-2.699076845,-8.427399257,-3.0009389650796896,0.09333906617471528,-2.833187567050749,2.622803952657211,-10.07402819299886,2.6846122482599126,2.1868250824916835,13.50192055799937,0.9478716566571066,-34.39579535712976,-10.112990353306532,4.201002028529206,-8.681229480735695,-5.3612808078651355,-9.771312803782376,5.114366924216135,1.7475448451631095,-0.6030579777734622,1.7475448451631095,0.7142644327767502,-0.1428677836116249,-0.6030579777734622,-0.1428677836116249,0.3335416666666666
3.052291527,-4.523018028,4.053041413,-2.236513774012956,-0.3213727062604019,1.338195450791836,3.3078380421024995,-8.398159347475358,-4.742133752471611,-0.056122804363401,47.70576455039155,-106.13086301085417,-25.738788142322058,-10.591570698047724,1.6870055106460713,-63.79383481734185,-34.96163549563468,17.259464671650814,7.603612954247996,3.5838318780368024,0.7118315691932087,3.5838318780368024,1.8975924684922758,0.44879623424613774,0.7118315691932087,0.44879623424613774,0.3335416666666666
8.876028539,-7.463657955,7.295565908,-2.265732254929623,-0.9963245537149096,1.8908203116259021,0.44881477278607246,0.9894173367848736,-2.375679837356248,17.261557316972375,-28.26199070064894,5.522304092575148,-29.340248869819035,-13.63600288833566,0.9723569752237599,2.651569204076779,0.3895481698308245,1.0602932472955633,5.942122115935405,2.4805372274126745,0.4892030783328779,2.4805372274126745,1.3524940055566113,0.1762470027783056,0.4892030783328779,0.1762470027783056,0.3335416666666666
-8.810716968,-2.384589834,-1.404518776,-2.049625805154751,-0.38678092651158147,-0.718481610666514,-3.6118888785506194,0.8635044368628694,2.725305284722174,-15.930032322355459,42.4766163801471,-8.752660965500425,-27.409570863751362,-16.10990733777088,-4.9045664648673135,-11.421881271222816,-15.696058883264133,-8.314775699533905,7.980715275094351,4.0335315032617896,0.9343946241525043,4.0335315032617896,2.4198893980958944,0.7099446990479472,0.9343946241525043,0.7099446990479472,0.3335416666666666
-0.223009063,9.529246439,5.513823762,-2.8867992383576935,0.845099630941492,3.1415900000000008,-3.8009168693247948,6.264620252769733,-1.7763568394002505e-13,9.779987646476584,-14.519556863754168,6.938893903907228e-15,-28.18392121603686,-4.4507013964890545,2.225368097028081,6.266416057758686,10.806883525160039,-5.403414627503068,4.32793653127527,1.3307390989727286,-0.4982877048857395,1.3307390989727286,0.667083333336854,-0.166458333331573,-0.4982877048857395,-0.166458333331573,0.3335416666666666
